"jsonkey_identifier"	"rdfs:type"	"schema:name"	"schema:subjectOf"	"hyf:hydrometricNetwork"
"WIDNR_WQX-10001227"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"LOUIS BUECHNER POND - LOUIS BUECHNER POND"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10001227"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10001222"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"BRANDENBURG LAKE - BRANDENBURG LAKE"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10001222"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-134002"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"Brandenburg Lake - Brandenburg Lake"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-134002"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-431208089314901"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DANE CO. MRBI TILE NO. 1 NR SPRINGFIELD CORNERS,WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-431208089314901"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-431212089314801"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DANE CO MRBI WATERWAY 2 NR SPRINGFIELD CORNERS, WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-431212089314801"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-431212089314802"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DANE CO MRBI WATERWAY 2-QW-SPRINGFIELD CORNERS, WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-431212089314802"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-431250089282902"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DANE COUNTY MRBI WATERWAY 1-QW SITE-NR WAUNAKEE,WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-431250089282902"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-431250089282901"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DANE COUNTY MRBI WATERWAY NUMBER 1 NR WAUNAKEE, WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-431250089282901"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"USGS-05427880"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"SIXMILE CREEK AT STATE HIGHWAY 19 NEAR WAUNAKEE,WI"	"https://www.waterqualitydata.us/provider/STORET/USGS-WI/USGS-05427880"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10017024"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"Sixmile Creek - Woodland Rd Station #2"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10017024"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10001221"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"BARBIAN POND - BARBIAN POND"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10001221"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10016974"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"SIXMILE CREEK - 10 M UPSTREAM OF KINGSLEY RD CROS-SING"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10016974"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10043697"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"Sixmile Creek at STH 19 (WEST) crossing"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10043697"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
"WIDNR_WQX-10001223"	"http://www.opengeospatial.org/standards/waterml2/hy_features/HY_HydrometricFeature"	"DIEDRICH POND - DIEDRICH POND"	"https://www.waterqualitydata.us/provider/STORET/WIDNR_WQX/WIDNR_WQX-10001223"	"elfie/usgs/hydrometricnetwork/huc12obs/070900020601"
